,Cognition,Affect,Social,Perception,overgeneralization,insightfulness,causality,conditional,safety,assurance,memory,optimism,pessimism,emotional,positive,negative,anxiety,anger,sadness,otherness,altruism,politeness,aggression,morality,communication,attention,movement,spatial,vision,auditory,interoception,time,nostalgic,contemporary,prospective
408,8.16,2.04,24.49,10.2,0.0,2.04,2.04,0.0,0.0,0.0,2.04,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.0,0.0,2.04,0.0,0.0,0.0,4.08,6.12,0.0,0.0,0.0,2.04,2.04,12.24,2.04
409,15.28,2.78,19.44,11.11,1.39,1.39,2.78,5.56,0.0,0.0,0.0,1.39,1.39,1.39,0.0,1.39,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,1.39,2.78,5.56,1.39,0.0,0.0,1.39,1.39,15.28,6.94
410,9.68,3.23,32.26,11.29,0.0,1.61,0.0,1.61,1.61,1.61,0.0,0.0,3.23,1.61,0.0,1.61,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,1.61,3.23,4.84,0.0,0.0,1.61,1.61,11.29,1.61
411,8.33,2.78,15.28,8.33,0.0,0.0,2.78,1.39,2.78,0.0,0.0,0.0,2.78,2.78,0.0,2.78,0.0,1.39,0.0,2.78,0.0,0.0,1.39,1.39,1.39,0.0,0.0,6.94,1.39,0.0,0.0,4.17,4.17,8.33,2.78
412,10.77,1.54,16.92,10.77,1.54,0.0,1.54,0.0,1.54,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,0.0,0.0,3.08,0.0,1.54,1.54,3.08,6.15,3.08,0.0,0.0,3.08,3.08,7.69,4.62
413,4.69,12.5,17.19,14.06,0.0,1.56,1.56,0.0,0.0,0.0,0.0,4.69,6.25,6.25,3.13,1.56,1.56,0.0,0.0,6.25,0.0,0.0,3.13,0.0,0.0,1.56,3.13,6.25,3.13,1.56,0.0,7.81,3.13,9.38,1.56
414,3.39,6.78,10.17,10.17,1.69,0.0,1.69,0.0,0.0,0.0,0.0,0.0,6.78,0.0,0.0,0.0,0.0,0.0,0.0,3.39,0.0,0.0,3.39,0.0,0.0,3.39,3.39,1.69,5.08,0.0,0.0,1.69,3.39,5.08,5.08
415,4.65,4.65,13.95,11.63,0.0,0.0,0.0,2.33,0.0,0.0,0.0,0.0,4.65,2.33,0.0,2.33,0.0,0.0,0.0,2.33,0.0,0.0,0.0,0.0,0.0,2.33,2.33,6.98,2.33,0.0,0.0,4.65,4.65,6.98,0.0
416,4.65,4.65,11.63,18.6,0.0,0.0,2.33,0.0,0.0,0.0,0.0,0.0,4.65,2.33,0.0,2.33,0.0,0.0,0.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0,6.98,6.98,0.0,0.0,4.65,2.33,9.3,4.65,0.0
417,0.0,0.0,20.59,8.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94,2.94,2.94,0.0,0.0,11.76,0.0,8.82,2.94
